0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
380.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.0,100.0,240.0,80.0,370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,80.0,90.0,80.0,110.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,70.0,110.0,200.0,160.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
90.0,90.0,140.0,120.0,90.0,120.0,230.0,1720.0,,,,,,,,,,,,,,,,,,,,,,,,
70.0,100.0,120.0,60.0,120.0,180.0,180.0,160.0,1100.0,,,,,,,,,,,,,,,,,,,,,,,
90.0,100.0,120.0,120.0,90.0,100.0,90.0,330.0,1700.0,,,,,,,,,,,,,,,,,,,,,,,
80.0,100.0,280.0,70.0,70.0,80.0,90.0,90.0,100.0,100.0,100.0,130.0,,,,,,,,,,,,,,,,,,,,
100.0,70.0,90.0,90.0,80.0,70.0,280.0,100.0,180.0,190.0,160.0,2710.0,,,,,,,,,,,,,,,,,,,,
60.0,60.0,100.0,100.0,90.0,80.0,70.0,110.0,80.0,260.0,200.0,340.0,1050.0,,,,,,,,,,,,,,,,,,,
70.0,100.0,70.0,130.0,70.0,100.0,100.0,90.0,110.0,100.0,80.0,130.0,110.0,100.0,290.0,,,,,,,,,,,,,,,,,
80.0,110.0,110.0,90.0,90.0,110.0,140.0,130.0,90.0,110.0,110.0,80.0,80.0,130.0,210.0,100.0,190.0,90.0,510.0,260.0,,,,,,,,,,,,
270.0,70.0,80.0,80.0,90.0,80.0,100.0,70.0,70.0,80.0,100.0,90.0,130.0,90.0,80.0,80.0,80.0,80.0,100.0,90.0,120.0,110.0,110.0,110.0,120.0,120.0,80.0,340.0,,,,
70.0,60.0,70.0,80.0,90.0,80.0,100.0,90.0,70.0,100.0,80.0,120.0,70.0,90.0,80.0,100.0,60.0,100.0,80.0,100.0,80.0,70.0,110.0,80.0,110.0,80.0,100.0,70.0,130.0,100.0,70.0,540.0
