$nta$,$sen_A$,$sen$,$sen_B$
0.0,1.0,1.0,7.0
0.0,3.0,3.0,8.0
2.0,5.0,5.0,9.0
3.0,6.0,6.0,9.0
4.0,8.0,7.0,10.0
4.0,8.0,8.0,10.0
4.0,9.0,8.0,11.0
5.0,9.0,8.0,12.0
5.0,9.0,9.0,12.0
5.0,10.0,9.0,13.0
5.0,12.0,9.0,13.0
5.0,13.0,9.0,15.0
6.0,13.0,9.0,15.0
7.0,14.0,10.0,16.0
7.0,14.0,10.0,16.0
7.0,14.0,10.0,17.0
7.0,15.0,11.0,17.0
8.0,15.0,12.0,19.0
8.0,16.0,12.0,20.0
8.0,16.0,12.0,20.0
8.0,16.0,13.0,21.0
9.0,17.0,13.0,21.0
10.0,18.0,13.0,21.0
10.0,18.0,13.0,22.0
10.0,19.0,14.0,22.0
11.0,19.0,14.0,22.0
11.0,19.0,14.0,22.0
11.0,21.0,15.0,23.0
11.0,22.0,15.0,23.0
12.0,24.0,15.0,24.0
12.0,24.0,15.0,25.0
12.0,24.0,16.0,25.0
13.0,24.0,16.0,26.0
13.0,25.0,16.0,26.0
13.0,25.0,16.0,26.0
13.0,25.0,16.0,26.0
14.0,26.0,17.0,27.0
15.0,27.0,17.0,27.0
15.0,28.0,17.0,27.0
16.0,28.0,18.0,27.0
16.0,28.0,18.0,27.0
16.0,29.0,19.0,27.0
16.0,29.0,19.0,28.0
16.0,30.0,19.0,28.0
16.0,30.0,19.0,29.0
16.0,31.0,20.0,29.0
16.0,31.0,20.0,30.0
16.0,33.0,21.0,31.0
17.0,33.0,21.0,31.0
17.0,34.0,21.0,32.0
17.0,34.0,21.0,32.0
18.0,35.0,22.0,33.0
18.0,35.0,22.0,34.0
18.0,36.0,22.0,34.0
18.0,36.0,22.0,34.0
18.0,38.0,22.0,34.0
18.0,38.0,23.0,34.0
18.0,38.0,23.0,35.0
20.0,39.0,24.0,36.0
20.0,39.0,24.0,36.0
20.0,42.0,24.0,37.0
20.0,43.0,24.0,37.0
20.0,45.0,24.0,37.0
20.0,53.0,25.0,38.0
21.0,,25.0,39.0
21.0,,25.0,39.0
21.0,,25.0,39.0
21.0,,25.0,40.0
22.0,,26.0,40.0
22.0,,26.0,40.0
23.0,,26.0,41.0
24.0,,26.0,41.0
24.0,,26.0,42.0
24.0,,27.0,43.0
24.0,,27.0,43.0
24.0,,27.0,45.0
25.0,,27.0,45.0
25.0,,27.0,45.0
25.0,,27.0,46.0
25.0,,27.0,46.0
25.0,,28.0,47.0
26.0,,28.0,49.0
26.0,,28.0,52.0
26.0,,28.0,56.0
27.0,,28.0,
27.0,,29.0,
28.0,,29.0,
29.0,,29.0,
29.0,,29.0,
29.0,,30.0,
30.0,,30.0,
30.0,,30.0,
30.0,,31.0,
30.0,,31.0,
31.0,,31.0,
32.0,,31.0,
32.0,,32.0,
32.0,,32.0,
32.0,,33.0,
32.0,,33.0,
33.0,,33.0,
33.0,,34.0,
34.0,,34.0,
34.0,,34.0,
34.0,,34.0,
34.0,,34.0,
36.0,,34.0,
36.0,,34.0,
36.0,,35.0,
36.0,,35.0,
37.0,,35.0,
37.0,,36.0,
38.0,,36.0,
41.0,,36.0,
41.0,,36.0,
,,37.0,
,,37.0,
,,37.0,
,,38.0,
,,38.0,
,,38.0,
,,38.0,
,,39.0,
,,39.0,
,,39.0,
,,39.0,
,,39.0,
,,40.0,
,,40.0,
,,40.0,
,,41.0,
,,41.0,
,,42.0,
,,42.0,
,,43.0,
,,43.0,
,,43.0,
,,45.0,
,,45.0,
,,45.0,
,,45.0,
,,46.0,
,,46.0,
,,47.0,
,,49.0,
,,52.0,
,,53.0,
,,56.0,
